Nummer,Abruf-Datum,Titel,Domain,URL
10,2022-06-18,"Hat Chatbot LaMDA ein Bewusstein entwickelt_ Google beurlaubt Angestellten _ heise online.pdf",heise.de,https://heise.de/-7138314
14,2022-06-19,"Microsofts Chatbot Tay nach rassistischen Entgleisungen abgeschaltet",heise.de,https://heise.de/-3151646
17,2022-06-19,"Contextual Chatbots with Tensorflow _ by gk_ _ Chatbots Magazine.pdf",chatbotsmagazine.com,https://chatbotsmagazine.com/contextual-chat-bots-with-tensorflow-4391749d0077
20,2022-06-25,"Eliza—a computer program for the study of natural language communication between man and machine",acm.org,https://dl.acm.org/doi/abs/10.1145/357980.357991
50,2022-08-27,"python-engineer_pytorch-chatbot_ Simple chatbot implementation with PyTorch.pdf",github.com,https://github.com/python-engineer/pytorch-chatbot
51,2022-08-27,"The dissertation of Roy Thomas Fielding",ics.uci.edu,https://www.ics.uci.edu/~fielding/pubs/dissertation/fielding_dissertation.pdf
52,2022-08-27,"KI in KMU: Rahmenbedingungen für den Transfer von KI-Anwendungen in kleine und mittlere Unternehmen",jstor.org,https://www.jstor.org/stable/resrep25292
53,2022-08-27,"Zwischenbericht_KI-Strategie_Final.pdf",ki-strategie-deutschland.de,https://www.ki-strategie-deutschland.de/home.html?file=files/downloads/Zwischenbericht_KI-Strategie_Final.pdf&cid=806
54,2022-08-27,"Django overview _ Django.pdf",djangoproject.com,https://www.djangoproject.com/start/overview/
55,2022-08-27,"Ghimire_Devndra.pdf",theseus.fi,https://www.theseus.fi/handle/10024/339796
56,2202-08-27,"Django - Reviews, Pros & Cons _ Companies using Django.pdf",stackshare.io,https://stackshare.io/django
57,2022-08-28,"A probabilistic morphology model for German lemmatization",hs-hannover.de,https://serwiss.bib.hs-hannover.de/frontdoor/index/index/docId/1527
